Index,Name,Abbr,PJ,G,E,P,GF,GC,DIF,PTS
1,Boca Juniors,CABJ,4,4,0,0,12,1,+11,12
2,Unión de Santa Fe,USF,5,3,2,0,7,2,+5,11
3,River Plate,CARP,4,3,1,0,8,3,+5,10
4,Banfield,BAN,4,3,0,1,8,4,+4,9
5,Patronato,CAP,4,3,0,1,7,5,+2,9
6,Colón de Santa Fe,COL,4,2,2,0,5,2,+3,8
7,San Lorenzo,SL,4,2,2,0,5,2,+3,8
8,Huracán,HUR,5,2,2,1,5,4,+1,8
9,Belgrano de Córdoba,BEL,5,2,2,1,4,3,+1,8
10,Talleres de Córdoba,TDC,4,2,1,1,7,4,+3,7
11,Vélez Sarsfield,VEL,4,2,1,1,5,4,+1,7
12,Godoy Cruz de Mendoza,GCM,4,2,0,2,5,7,-2,6
13,Lanús,LAN,4,2,0,2,4,6,-2,6
14,Racing Club,RAC,4,1,2,1,5,3,+2,5
15,Atlético Tucumán,TUC,5,1,2,2,4,6,-2,5
16,Defensa y Justicia,DYJ,5,1,2,2,7,10,-3,5
17,Independiente,IND,4,1,1,2,4,4,0,4
18,Newell's Old Boys,NOB,4,1,1,2,3,3,0,4
19,San Martín de San Juan,SMSJ,4,1,1,2,3,4,-1,4
20,Gimnasia La Plata,GLP,4,1,1,2,6,8,-2,4
21,Estudiantes La Plata,EST,4,1,1,2,3,5,-2,4
22,Temperley,TEMP,4,1,1,2,3,6,-3,4
23,Rosario Central,ROS,4,0,3,1,2,6,-4,3
24,Chacarita Juniors,CHA,3,0,2,1,2,3,-1,2
25,Tigre,TIG,4,0,2,2,2,7,-5,2
26,Argentinos Juniors,ARGJ,3,0,1,2,3,5,-2,1
27,Olimpo de Bahía Blanca,OBB,5,0,1,4,1,9,-8,1
28,Arsenal de Sarandí,ARS,4,0,0,4,1,5,-4,0
