State,GDP2016
Alabama,204861
Alaska,50713
Arizona,302952
Arkansas,120689
California,2602672
Colorado,323692
Connecticut,263379
Delaware,70387
District of Columbia,126815
Florida,926817
Georgia,525360
Hawaii,83917
Idaho,67275
Illinois,791608
Indiana,341909
Iowa,178766
Kansas,153258
Kentucky,197043
Louisiana,235109
Maine,59275
Maryland,378280
Massachusetts,507913
Michigan,487239
Minnesota,335147
Mississippi,107680
Missouri,300891
Montana,45994
Nebraska,115345
Nevada,147475
New Hampshire,77855
New Jersey,581122
New Mexico,93297
New York,1487998
North Carolina,517904
North Dakota,52089
Ohio,625715
Oklahoma,182937
Oregon,226821
Pennsylvania,724936
Rhode Island,57433
South Carolina,209716
South Dakota,48139
Tennessee,328770
Texas,1616801
Utah,156352
Vermont,31092
Virginia,494349
Washington,469739
West Virginia,73374
Wisconsin,309536
Wyoming,37858
