State,Immigrants
Wyoming,21000
Wisconsin,273000
West Virginia,28000
Washington,938000
Virginia,967000
Vermont,27000
Utah,243000
Texas,4399000
Tennessee,315000
South Dakota,25000
South Carolina,228000
Rhode Island,141000
Pennsylvania,801000
Oregon,389000
Oklahoma,222000
Ohio,477000
North Dakota,23000
North Carolina,758000
New York,4423000
New Mexico,204000
New Jersey,1929000
New Hampshire,76000
Nevada,537000
Nebraska,123000
Montana,21000
Missouri,237000
Mississippi,69000
Minnesota,419000
Michigan,623000
Massachusetts,1038000
Maryland,858000
Maine,47000
Louisiana,185000
Kentucky,151000
Kansas,200000
Iowa,146000
Indiana,316000
Illinois,1804000
Idaho,98000
Hawaii,249000
Georgia,981000
Florida,3875000
District of Columbia,92000
Delaware,80000
Connecticut,500000
Colorado,516000
California,10390000
Arkansas,139000
Arizona,896000
Alaska,54000
Alabama,167000
