State,Number_of_Schools
Alabama,1386
Alaska,497
Arizona,1976
Arkansas,1130
California,9373
Colorado,1679
Connecticut,1095
Delaware,198
District of Columbia,214
Florida,3498
Georgia,2069
Hawaii,285
Idaho,662
Illinois ,4245
Indiana,1913
Iowa,1524
Kansas,1400
Kentucky,1368
Louisiana,1510
Maine,655
Maryland,1372
Massachusetts,1872
Michigan,3901
Minnesota,2214
Mississippi,896
Missouri,2257
Montana,852
Nebraska,1203
Nevada,556
New Hampshire,477
New Jersey,2440
New Mexico,834
New York,4470
North Carolina,2283
North Dakota,511
Ohio,3862
Oklahoma,1787
Oregon,1208
Pennsylvania,3189
Rhode Island,334
South Carolina,1101
South Dakota,713
Tennessee,1671
Texas,7941
Utah,915
Vermont,361
Virginia,1861
Washington,2203
West Virginia,752
Wisconsin,2206
Wyoming,376
Puerto Rico,1513
